City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,bubaque,11.2833,-15.8333,79.48,73,100,12.41,GW,1670202608
340,igrim,63.1906,64.4162,1.51,98,93,2.64,RU,1670202608
341,bayeux,-7.125,-34.9322,79.43,78,75,5.75,BR,1670202609
342,tabuk,17.4189,121.4443,79.14,78,91,1.77,PH,1670202522
343,effingham,32.3669,-81.3332,58.95,93,95,4.47,US,1670202610
344,meulaboh,4.1363,96.1285,76.77,89,100,7.27,ID,1670202610
345,elizabeth city,36.2946,-76.2511,42.8,74,0,9.22,US,1670202526
346,bat yam,32.0231,34.7503,59.05,77,0,2.3,IL,1670202611
347,mandalgovi,45.7625,106.2708,2.64,42,31,6.33,MN,1670202489
348,sungaipenuh,-2.0833,101.3833,66.65,88,100,0.43,ID,1670202612
349,ambanja,-13.6833,48.45,73.56,91,2,2.15,MG,1670202613
350,houma,29.5958,-90.7195,69.03,92,100,3.44,US,1670202442
351,mulchen,-37.7167,-72.2333,66.16,42,0,7.87,CL,1670202614
352,hithadhoo,-0.6,73.0833,81.73,75,100,9.35,MV,1670202615
353,charleston,32.7766,-79.9309,59.02,88,75,3.44,US,1670202226
354,gboko,7.3179,8.9951,77.68,47,5,5.14,NG,1670202616
355,notse,6.95,1.1667,76.82,85,58,4.59,TG,1670202617
356,milisauti,47.7833,26.0,32.25,90,100,12.71,RO,1670202617
357,sayat,38.7839,63.8803,29.03,41,100,7.63,TM,1670202618
358,eyemouth,55.8713,-2.0901,41.23,71,100,17.6,GB,1670202619
359,fairbanks,64.8378,-147.7164,15.1,86,40,4.61,US,1670202332
360,kamina,-8.7386,24.9906,62.28,98,100,2.04,CD,1670202620
361,barentu,15.1139,37.5928,67.91,53,0,3.76,ER,1670202620
362,loandjili,-4.7561,11.8578,76.6,90,100,1.39,CG,1670202621
363,ribeira grande,38.5167,-28.7,61.77,72,44,15.01,PT,1670202622
